,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
91,IOv-UtT-IV0,"['vinu lifestyle', 'india to mexico donkey route', 'india to mexico donkey', 'india to usa donkey map', 'india to america donkey', 'india to usa full\\njourney', 'india to usa donkey route', 'india to\\nusa flight journey', 'india to usa vlog', 'india to\\nusa by road', 'america ki donkey kaise lagti\\nhai', 'america me india ka', 'america me\\nindian independence day', 'america work\\npermit visa 2023', 'india se america jane me nkitna paisa lagta hai', 'india se america kese njaye', 'india se america kitna dur hai']",2738,104,0,34
92,6SQeJgoS9LM,,1164,46,0,0
93,ibruiTY5wj4,"['usa mexico border', 'texas', 'why indians cross usa mexico border', 'Usa donkey', 'Dunkee', 'Dunki', 'Illegal border crossing', 'Indian']",222361,4411,0,243
94,xy6PDXqyJwk,"['swag media', 'ajay gill kurar', 'donki कैसे lgaye', 'donki america', 'america kaise jaye', 'donki vedio', 'america donki', 'panama jungle vedio', 'donki status', 'america ki donki', 'dusre deso ki donki', 'donki kya hai', 'america donki kya hai', 'america ki donki kaise lgaye', 'america tourist visa', 'donkey way to america', 'donkey in america', 'donkey of america', 'donkey', 'donkey vedio', 'donkey kaise lgaye']",718912,12503,0,428
95,domN0sQe1o4,,1939773,,0,137
96,28m7JSsP8gI,,3161,66,0,6
97,6TAZ89jZPbg,"['usa donkey', 'usa ki donkey', 'teach visa punjabi', 'mexico city airport immigration', 'Mexico airport immigration', 'mexico airport customs', 'Mexican Airport immigration', 'mexico visa clearance', 'maxican immigration clearance', 'mexico visa easy to grant', 'mexico visa documents clearance', 'mexico visa resume from Dubai', 'mexico embassy resume from Dubai']",2991,79,0,7
98,DYjGelWJHko,,48710,1725,0,67
99,6Fag8IzUEiQ,,86925,1351,0,152
100,ge01tCxzlCY,"['Russia to America', 'Russia ki donkey', 'America USA ki donkey', 'America ki donkey', 'USA ki donkey', 'Russia to America Donkey flight', 'Russia Donkey flight', 'America Donkey flight', 'usa donkey', 'usa ki donkey']",50493,1000,0,88
